datetime,wma_9,wma_20,wma_55,hma_21,hma_55,stoch_k_14_3_3,stoch_d_14_3_3,atr_14
2024-01-02 01:00:00+00:00,,,,,,,,
2024-01-02 02:00:00+00:00,,,,,,,,
2024-01-02 03:00:00+00:00,,,,,,,,
2024-01-02 04:00:00+00:00,,,,,,,,
2024-01-02 05:00:00+00:00,,,,,,,,
2024-01-02 06:00:00+00:00,,,,,,,,
2024-01-02 07:00:00+00:00,,,,,,,,
2024-01-02 08:00:00+00:00,,,,,,,,
2024-01-02 09:00:00+00:00,2071.187111111111,,,,,,,
2024-01-02 10:00:00+00:00,2071.9744444444445,,,,,,,
2024-01-02 11:00:00+00:00,2073.313333333333,,,,,,,
2024-01-02 12:00:00+00:00,2074.1604444444447,,,,,,,
2024-01-02 13:00:00+00:00,2073.467555555556,,,,,,,
2024-01-02 14:00:00+00:00,2072.4573333333333,,,,,,,
2024-01-02 15:00:00+00:00,2071.177111111111,,,,,,,4.624285714285634
2024-01-02 16:00:00+00:00,2070.753111111111,,,,,35.922960094563365,,4.899693877550947
2024-01-02 17:00:00+00:00,2068.223111111111,,,,,29.568473593078803,,5.619001457725864
2024-01-02 18:00:00+00:00,2067.3704444444443,,,,,35.97674237997194,33.82272535587137,5.837644210745434
2024-01-02 19:00:00+00:00,2065.992,,,,,29.549705078405765,31.69830701715217,5.8028124814065
2024-01-02 20:00:00+00:00,2064.550888888889,2067.995047619048,,,,32.16803337649265,32.564826944956785,5.709754447020321
2024-01-02 21:00:00+00:00,2063.4135555555554,2067.2501904761903,,,,24.701481801179543,28.80640675202599,5.4390577008045895
2024-01-02 22:00:00+00:00,2062.066,2066.258619047619,,,,18.241979571284116,25.037164916318773,5.326267865032842
2024-01-02 23:00:00+00:00,2061.121111111111,2065.3751904761903,,,,15.04819450438685,19.33055195895017,5.042963017530505
2024-01-03 01:00:00+00:00,2060.5022222222224,2064.5880476190478,,,,13.134800748092864,15.474991607921275,4.786322801992599
2024-01-03 02:00:00+00:00,2060.131111111111,2063.886095238095,,2057.3429402597403,,16.14635783819997,14.776451030226562,4.657299744707414
2024-01-03 03:00:00+00:00,2060.4682222222223,2063.4584285714286,,2057.1384444444443,,22.45890050941011,17.246686365234314,4.549635477228319
2024-01-03 04:00:00+00:00,2061.194222222222,2063.283142857143,,2057.6605535353533,,36.3996872816974,25.001648543102494,4.489661514569156
